,index,job title,company name,Python," R,",Excel,Java,Scala,Matlab,SAS,SQL,SPSS,Tableau,Power BI,Machine Learning,Modeling,Deep learning,Data mining,NLP,Neural Networks,Visualization,Big data,Hadoop,Hive,Azure,Mathematics,Statistics,AWS cloud,Presentation,Problem solving,Collaboration,Project management
905,https://ca.linkedin.com/jobs/view/data-scientist-game-at-prodigy-education-2173731319?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Data Scientist, Game",Prodigy Education,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
906,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-motion-recruitment-2311991559?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Motion Recruitment,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
907,https://ca.linkedin.com/jobs/view/sr-data-engineer-at-amazon-2150820991?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Sr. Data Engineer,Amazon,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
908,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-benchsci-2280213792?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,BenchSci,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
909,https://ca.linkedin.com/jobs/view/artificial-intelligence-researcher-at-huawei-2307889769?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Artificial Intelligence  Researcher,Huawei,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
910,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-zynga-2253848986?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=16&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,Zynga,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
911,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-pulsemedica-1879408521?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=17&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,PulseMedica,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
912,https://ca.linkedin.com/jobs/view/data-scientist-toronto-at-cerebri-ai-2304315407?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=18&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist - Toronto,Cerebri AI,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1
913,https://ca.linkedin.com/jobs/view/data-engineer-business-economics-at-scotiabank-2323464980?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,"Data Engineer, Business Economics",Scotiabank,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1
914,https://ca.linkedin.com/jobs/view/junior-nlp-data-researcher-at-exiger-2250411473?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=20&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Junior NLP Data Researcher,Exiger,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
915,https://ca.linkedin.com/jobs/view/program-scientist-at-alberta-machine-intelligence-institute-amii-2307297696?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=21&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Program Scientist,Alberta Machine Intelligence Institute (Amii),1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
916,https://ca.linkedin.com/jobs/view/data-scientist-at-international-air-transport-association-iata-2303337894?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=22&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,International Air Transport Association (IATA),1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
917,https://ca.linkedin.com/jobs/view/data-scientist-at-mcafee-2298640162?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=23&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,McAfee,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0
918,https://ca.linkedin.com/jobs/view/data-science-co-op-at-hach-2322880448?refId=a994a828-52d4-44df-bd3d-0e8cf583e37f&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Science Co-op,Hach,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
919,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-kinaxis-2323437592?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Kinaxis,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
920,https://ca.linkedin.com/jobs/view/philanthropy-researcher-and-database-specialist-at-royal-bc-museum-corporation-2323240707?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Philanthropy Researcher and Database Specialist,Not found,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
921,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-ideal-group-2321844244?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Ideal Group,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,https://ca.linkedin.com/jobs/view/data-scientist-ii-at-td-2307242550?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist II,TD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
923,https://ca.linkedin.com/jobs/view/data-scientist-at-tc-transcontinental-2251500242?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,TC Transcontinental,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
924,https://ca.linkedin.com/jobs/view/data-scientist-at-kabam-2307223700?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Data Scientist,Kabam,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
925,https://ca.linkedin.com/jobs/view/senior-data-scientist-at-microsoft-2241511652?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Senior Data Scientist,Microsoft,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0
926,https://ca.linkedin.com/jobs/view/machine-learning-engineer-at-paytm-labs-2238506827?refId=ea62745a-b238-4401-8a38-5fc5feda5043&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Machine Learning Engineer,Paytm Labs,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
